Gene_ID,Hours10_mean,Hours48_mean,Days12female_mean,Days12male_mean,Days24female_mean,Supercluster,Type,Immunity,response_to_biotic_and_stress,response_to_wounding,defence_response,immune,Distance [z]
AT1G05450,382.1856288,-30.02542583,16.68382232,-3.005338083,-25.7535024,10hpi,Plant,Yes,1,0,0,0,0
AT1G05675,168.6617144,20.14392452,3.836562248,-3.681597787,2.264856723,10hpi,Plant,Yes,1,0,0,0,0
AT1G06137,42.26964299,3.70624065,1.186385125,-0.463087763,-3.199779033,10hpi,Plant,Yes,1,0,0,0,0
AT1G07135,2188.869853,303.8817203,-112.9423895,-266.5231418,-348.0163988,10hpi,Plant,Yes,1,0,0,0,0
AT1G08830,51356.55397,4433.786776,664.0958142,254.7082049,560.2880451,10hpi,Plant,Yes,1,0,0,0,0
AT1G08940,2470.259788,168.7556231,-187.1338323,154.7313348,-59.26798919,10hpi,Plant,Yes,1,0,0,0,0
AT1G11925,256.3292148,8.397971671,-1.714634646,-6.209888865,-1.369056985,10hpi,Plant,Yes,1,0,0,0,0
AT1G13520,3082.498668,-118.4150391,-434.602389,-274.2366462,-564.2476478,10hpi,Plant,Yes,1,0,0,0,0
AT1G14330,1156.859094,402.8765245,271.2163819,260.4447717,185.5311265,10hpi,Plant,Yes,1,0,0,0,0
AT1G16670,3126.391286,168.3139514,-489.753537,-247.3022419,-154.2198918,10hpi,Plant,Yes,1,0,0,0,0
AT1G17750,959.5581859,260.0582338,-281.313096,-171.4542454,-283.1891106,10hpi,Plant,Yes,1,0,0,0,0
AT1G18570,5147.028924,292.7049224,-400.6027867,-41.24869444,54.81115929,10hpi,Plant,Yes,1,0,0,0,0
AT1G19020,5582.141165,109.7323648,-785.6296976,-608.9110914,-282.6172604,10hpi,Plant,Yes,1,0,0,0,0
AT1G19180,11293.36473,2027.94281,-962.2937824,-650.5131543,-2053.292631,10hpi,Plant,Yes,1,0,0,0,0
AT1G19670,1900.077303,146.4690835,26.97730904,1.508766182,-9.925374611,10hpi,Plant,Yes,1,0,0,0,0
AT1G20310,110.1003784,21.16125026,2.653566884,1.522002994,-4.436557177,10hpi,Plant,Yes,1,0,0,0,0
AT1G20490,300.2848154,172.9425595,-7.148045892,1.588017324,-209.4738105,10hpi,Plant,Yes,1,0,0,0,0
AT1G22890,294.6959914,28.34981824,-5.302608953,4.755194793,1.333430946,10hpi,Plant,Yes,1,0,0,0,0
AT1G22900,210.0513923,32.46162002,5.329425152,4.952820851,10.11566484,10hpi,Plant,Yes,1,0,0,0,0
AT1G23710,2687.904412,-207.7617242,-695.8478478,-770.9159441,-662.5400758,10hpi,Plant,Yes,1,0,0,0,0
AT1G30755,1771.280147,-19.55251517,-390.9001461,-199.0473713,-103.5989605,10hpi,Plant,Yes,1,0,0,0,0
AT1G30757,249.6445324,-49.57497491,-32.32520058,-17.75756231,-31.1219789,10hpi,Plant,Yes,1,0,0,0,0
AT1G32970,566.6381764,118.2459161,-19.39658127,-17.93007811,-3.062431395,10hpi,Plant,Yes,1,0,0,0,0
AT1G44350,1273.895192,319.2191112,362.4948545,257.8364774,-16.92936741,10hpi,Plant,Yes,1,0,0,0,0
AT1G45145,14671.80286,-17878.67111,-6553.955679,-5251.641969,-1031.13079,10hpi,Plant,Yes,1,0,0,0,0
AT1G47130,1005.793245,22.61674452,-23.58351816,-28.58167884,-36.74370453,10hpi,Plant,Yes,1,0,0,0,0
AT1G49520,561.0917388,75.60026797,41.08340796,29.02014713,-89.55656307,10hpi,Plant,Yes,1,0,0,0,0
AT1G51680,23365.70293,2708.439875,-4420.488402,-1571.488603,-5182.891283,10hpi,Plant,Yes,1,0,0,0,0
AT1G51830,-1315.258893,-391.9986093,-374.1557799,-304.3661329,-275.3479802,10hpi,Plant,Yes,1,0,0,0,0
AT1G51920,133.7873575,12.71981043,-12.30608437,-9.189906903,4.867259139,10hpi,Plant,Yes,1,0,0,0,0
AT1G53990,1392.462106,221.8699913,80.66824371,360.3829547,215.480139,10hpi,Plant,Yes,1,0,0,0,0
AT1G55020,139918.0423,24895.73286,-1301.850921,-6539.166263,-11968.95543,10hpi,Plant,Yes,1,0,0,0,0
AT1G55450,4747.904481,-802.4303983,-1049.407053,-649.3137434,-362.1983191,10hpi,Plant,Yes,1,0,0,0,0
AT1G56240,1296.466088,187.6702887,42.92118463,-2.604830123,5.173284937,10hpi,Plant,Yes,1,0,0,0,0
AT1G56250,1226.216426,158.7440633,23.97695787,-5.709214404,-25.00523746,10hpi,Plant,Yes,1,0,0,0,0
AT1G61360,4539.868358,39.14028611,-872.2133922,-561.3626601,-126.1499871,10hpi,Plant,Yes,1,0,0,0,0
AT1G61370,1308.065534,21.82226187,-110.2610603,-163.53066,-75.86539558,10hpi,Plant,Yes,1,0,0,0,0
AT1G62422,807.4787784,-94.3049721,-358.008239,-188.0770774,-270.1918594,10hpi,Plant,Yes,1,0,0,0,0
AT1G64610,848.8801885,81.27593904,-68.9537785,-78.50851763,43.06974678,10hpi,Plant,Yes,1,0,0,0,0
AT1G66700,3424.722321,505.8957043,-290.3351795,-202.6836616,-168.7792135,10hpi,Plant,Yes,1,0,0,0,0
AT1G66880,2102.998895,254.2259562,563.3642834,559.596317,284.7563961,10hpi,Plant,Yes,1,0,0,0,0
AT1G67980,5359.142505,486.7032228,15.98902314,12.35357621,-38.06285996,10hpi,Plant,Yes,1,0,0,0,0
AT1G68620,1021.137788,264.1435479,17.66501596,-35.68391922,-0.211735532,10hpi,Plant,Yes,1,0,0,0,0
AT1G69050,88.8039105,11.57986622,-29.46415109,-14.27240586,-6.005664837,10hpi,Plant,Yes,1,0,0,0,0
AT1G70130,358.3131519,96.01062921,7.454343997,2.000486018,-21.72590397,10hpi,Plant,Yes,1,0,0,0,0
AT1G70170,1551.329199,-511.7077551,-660.2210987,-574.9380312,-180.8951276,10hpi,Plant,Yes,1,0,0,0,0
AT1G73260,138118.803,18733.06211,-5571.141795,-3662.528907,-672.7381674,10hpi,Plant,Yes,1,0,0,0,0
AT1G74100,10975.27069,-781.418979,-2744.473938,-1787.82389,-2636.780891,10hpi,Plant,Yes,1,0,0,0,0
AT1G74360,1067.842854,-35.27800904,-233.3502229,-325.9008658,-88.11098657,10hpi,Plant,Yes,1,0,0,0,0
AT1G76070,1548.144273,76.76222355,-208.9494171,3.945610319,-166.020063,10hpi,Plant,Yes,1,0,0,0,0
AT1G76640,202.7166888,36.29056932,18.62128309,-0.44993526,18.06303073,10hpi,Plant,Yes,1,0,0,0,0
AT1G76700,947.0527681,33.49420185,113.7655539,249.9469046,-7.121794914,10hpi,Plant,Yes,1,0,0,0,0
AT1G79160,5107.655741,137.5724626,-681.5913459,-424.5756228,45.50443509,10hpi,Plant,Yes,1,0,0,0,0
AT1G79680,1502.004595,379.5412705,76.29993519,132.9246852,5.975329854,10hpi,Plant,Yes,1,0,0,0,0
AT1G80840,2239.481649,379.9132938,352.0954277,-155.4674788,-573.2901883,10hpi,Plant,Yes,1,0,0,0,0
AT2G01300,128.0307067,16.03773212,-30.18962831,-30.05828706,-28.85498503,10hpi,Plant,Yes,1,0,0,0,0
